JSP Vehicle,GSP Vehicle,Seradata Vehicle,Family,Country,Class
Zenit-2SB,Zenit-2FG [Fregat-SB],,Zenit 2,Russia,Medium
Soyuz-ST-A,Soyuz-ST-A Fregat,,Soyuz,Russia,Medium
Soyuz-2-1V,Soyuz-2-1v Volga,,Soyuz,Russia,Medium
Proton-M/DM-3,Proton-M Blok-DM-03,,Proton,Russia,Heavy
Rokot-KM,,,Rokot,Russia,Small
Strela,,,Strela,Russia,Small
UR-100N,,,Strela,Russia,Small
Angara-A5 Briz-M,,,Angara,Russia,Heavy
Soyuz-ST-B Fregat-M,,,Soyuz,Russia,Medium
Soyuz-ST-A Fregat-M,,,Soyuz,Russia,Medium
Proton-M Briz-M (Ph.3),,,Proton,Russia,Heavy
Soyuz-2-1a Fregat-M,,,Soyuz,Russia,Medium
,Sputnik 8k71PS,,Sputnik,Russia,Small
,Sputnik (2),,Sputnik,Russia,Small
,Vostok-L,,Vostok,Russia,Medium
,Vostok,,Vostok,Russia,Medium
,Molniya,,Molniya,Russia,Medium
,Vostok-K,,Vostok,Russia,Medium
,Kosmos,,Kosmos,Russia,Small
,Vostok-2,,Vostok,Russia,Medium
,Start-1,,Start,Russia,Small
,Rokot-K,,Rokot,Russia,Small
,Start-1.2,,Start,Russia,Small
,Rokot-KM,,Rokot,Russia,Small
,Strela,,Strela,Russia,Small
,Angara-A5 Briz-M,,Angara,Russia,Heavy
,Soyuz-ST-B Fregat-M,,Soyuz,Russia,Medium
,Soyuz-ST-A Fregat-M,,Soyuz,Russia,Medium
,Proton-M Briz-M (Ph.3),,Proton,Russia,Heavy
,Soyuz-2-1a Fregat-M,,Soyuz,Russia,Medium
,Soyuz-2-1b Fregat-M,,Soyuz,Russia,Medium
,Soyuz-2-1a,,Soyuz,Russia,Medium
,Proton-M Briz-M (Ph.4),,Proton,Russia,Heavy
Naro-1,,,Naro,South Korea,Small
,Naro-1,,Naro,South Korea,Small
Black Arrow,Black Arrow,,Black Arrow,United Kingdom,Small
Scout X-3M,Scout-X3M,,Scout,United States,Small
Atlas Agena B,Atlas-LV3 Agena-B,,Atlas Agena,United States,Medium
Atlas D,Atlas-D Mercury,,Atlas,United States,Medium
Scout X-3,Scout-X3,,Scout,United States,Small
Scout X-4,Scout-X4,,Scout,United States,Small
Atlas Agena D,Atlas-LV3 Agena-D,,Atlas Agena,United States,Medium
Saturn I,Saturn-1 (Block-2),,Saturn I,United States,Medium
Atlas SLV-3 Agena D,Atlas-SLV3 Agena-D,,Atlas Agena,United States,Medium
Scout B,Scout-B,,Scout,United States,Small
Atlas Centaur D,Atlas-LV3C Centaur-D,,Atlas Centaur,United States,Medium
Scout A,Scout-A,,Scout,United States,Small
Atlas SLV-3,Atlas-SLV3,,Atlas,United States,Medium
Atlas SLV-3 Agena B,Atlas-SLV3 Agena-B,,Atlas Agena,United States,Medium
Uprated Saturn I,Saturn-1B,,Saturn IB,United States,Heavy
Atlas SLV-3C Centaur,Atlas-SLV3C Centaur-D,,Atlas Centaur,United States,Medium
Saturn V,Saturn-5,,Saturn V,United States,Heavy
SPARTA,Redstone Sparta,,Redstone,United States,
Saturn IB,Saturn-1B,,Saturn IB,United States,Heavy
Atlas SLV-3A Agena D,Atlas-SLV3A Agena-D,,Atlas Agena,United States,Medium
Atlas F,Atlas-F OV1 (2×),,Atlas,United States,Medium
Scout B-1,Scout-B1,,Scout,United States,Small
Scout D-1,Scout-D1,,Scout,United States,Small
Atlas Burner 2,Atlas-F Burner-2,,Atlas,United States,Medium
Atlas SLV-3D Centaur,Atlas-SLV3D Centaur-D1A Star-37E,,Atlas Centaur,United States,Medium
Scout A-1,Scout-A1,,Scout,United States,Small
Scout E-1,Scout-E1,,Scout,United States,Small
Atlas F/PTS,Atlas-F PTS,,Atlas,United States,Medium
Scout F-1,Scout-F1,,Scout,United States,Small
Atlas F/MSD,Atlas-F MSD,,Atlas,United States,Medium
Atlas F/SVS,Atlas-F SGS-1,,Atlas,United States,Medium
Atlas F/Agena D,Atlas-F Agena-D,,Atlas Agena,United States,Medium
Atlas F/OIS,Atlas-F OIS,,Atlas,United States,Medium
Scout G-1,Scout-G1,,Scout,United States,Small
Space Shuttle,Shuttle,,Space Shuttle,United States,Heavy
Atlas E,Atlas-E Star-37S-ISS,,Atlas,United States,Medium
Atlas H,Atlas-H MSD,,Atlas,United States,Medium
Atlas E/SGS-2,Atlas-E SGS-2,,Atlas,United States,Medium
Atlas G Centaur,Atlas-G Centaur-D1AR,,Atlas Centaur,United States,Medium
Atlas E/OIS,Atlas-E OIS,,Atlas,United States,Medium
Pegasus,Pegasus,,Pegasus,United States,Small
Atlas E Altair,Atlas-E Altair-3A,,Atlas,United States,Medium
Atlas I,Atlas-1,,Atlas I,United States,Medium
Pegasus/HAPS,Pegasus HAPS,,Pegasus,United States,Small
Atlas II,Atlas-2,,Atlas II,United States,Medium
Atlas IIA,Atlas-2A,,Atlas IIA,United States,Medium
Atlas IIAS,Atlas-2AS,,Atlas IIAS,United States,Medium
ARPA Taurus,Taurus-1110,,Taurus,United States,Small
Pegasus H,Pegasus-H,,Pegasus,United States,Small
Pegasus XL,Pegasus-XL,,Pegasus XL,United States,Small
LMLV-1,Athena-1 (LMLV-1),,Athena 1,United States,Small
Pegasus XL/HAPS,Pegasus-XL HAPS,,Pegasus XL,United States,Small
Athena-2,Athena-2,,Athena 2,United States,Small
Taurus 2210,Taurus-2210,,Taurus,United States,Small
Athena-1,Athena-1,,Athena 1,United States,Small
Taurus 2110,Taurus-2110,,Taurus,United States,Small
Minotaur 1,Minotaur-1,,Minotaur I,United States,Small
Taurus 1110,Taurus-1110,,Taurus,United States,Small
Atlas 3A,Atlas-3A,,Atlas III,United States,Medium
Atlas 3B,Atlas-3B-DEC,,Atlas III,United States,Medium
Atlas V 401,Atlas-5(401),,Atlas V,United States,Medium
"Delta 4M+(4,2)","Delta-4M+(4,2)",,Delta IV,United States,Medium
Delta 4M,Delta-4M,,Delta IV,United States,Medium
Atlas V 521,Atlas-5(521),,Atlas V,United States,Medium
Taurus 3210,Taurus-3210,,Taurus,United States,Small
Delta 4H,Delta-4H,,Delta IV Heavy,United States,Heavy
Atlas V 431,Atlas-5(431),,Atlas V,United States,Medium
Atlas V 551,Atlas-5(551) [Star-48B],,Atlas V,United States,Medium
Atlas V 411,Atlas-5(411),,Atlas V,United States,Medium
Atlas V 421,Atlas-5(421),,Atlas V,United States,Medium
Falcon 1,Falcon-1,,Falcon 1,United States,Small
"Delta 4M+(5,4)","Delta-4M+(5,4)",,Delta IV,United States,Medium
Atlas V 501,Atlas-5(501),,Atlas V,United States,Medium
Falcon 9,Falcon-9 v1.0,,Falcon 9,United States,Medium
Atlas V 531,Atlas-5(531),,Atlas V,United States,Medium
Minotaur IV,Minotaur-4,,Minotaur IV,United States,Small
Minotaur IV+,Minotaur-4+,,Minotaur IV,United States,Small
Atlas V 541,Atlas-5(541),,Atlas V,United States,Medium
"Delta 4M+(5,2)","Delta-4M+(5,2)",,Delta IV,United States,Medium
Antares 110,Antares-110,,Antares,United States,Medium
Minotaur V,Minotaur-5 (1),,Minotaur V,United States,
Antares 120,Antares-120,,Antares,United States,Medium
Antares 230,Antares-230,,Antares,United States,Medium
Minotaur-C 3210,Minotaur-C-XL-3210,,Minotaur C,United States,Small
Delta-7925,,,Delta II,United States,Medium
Delta-7925H,,,Delta II,United States,Medium
Delta-7920-10C,,,Delta II,United States,Medium
Delta-7420-10C,,,Delta II,United States,Medium
Delta-7925-10C,,,Delta II,United States,Medium
Delta-7920H-10C,,,Delta II,United States,Medium
Delta-7320-10C,,,Delta II,United States,Medium
Delta-7925-10L,,,Delta II,United States,Medium
Falcon Heavy,Falcon-Heavy,,Falcon Heavy,United States,Heavy
Falcon-Heavy,,,Falcon Heavy,United States,Heavy
Delta 4H/Star 48BV,Delta-4H (upg.),,Delta IV,United States,Medium
Falcon-9 v1.2 (Block 5),,,Falcon 9,United States,Medium
Antares-230,,,Antares,United States,Medium
Falcon-9 v1.2 (Block 5)(ex),,,Falcon 9,United States,Medium
,Juno-1,,Redstone,United States,
,Vanguard,,Vanguard,United States,Small
,Thor-DM18 Able-1,,Thor,United States,
,Juno-2,,Redstone,United States,
,Atlas-B (mod.),,Atlas,United States,Medium
,Thor-DM18 Agena-A,,Thor,United States,
,Thor-DM18 Able-3,,Thor,United States,
,Vanguard (mod.),,Vanguard,United States,Small
,Thor-DM18 Able-4,,Thor,United States,
,Thor-DM18 Able-2 (mod.),,Thor,United States,
,Thor-DM21 Able-Star,,Thor,United States,
,Atlas-LV3 Agena-A,,Atlas Agena,United States,Medium
,Delta,,Thor,United States,
,Thor-DM21 Agena-B,,Thor,United States,
,Scout-X1,,Scout,United States,Small
,Atlas-LV3 Agena-B,,Atlas Agena,United States,Medium
,Atlas-D Mercury,,Atlas,United States,Medium
,Atlas LV3-Agena-B,,Atlas Agena,United States,Medium
,Thor-DM21 Agena-D,,Thor,United States,
,Scout-X2M,,Scout,United States,Small
,Delta-A,,Delta A,United States,
,Delta-B,,Delta B,United States,
,Scout-X3,,Scout,United States,Small
,Thor-SLV2A Agena-D,,Thor,United States,
,Thor-SLV2A Agena-B,,Thor,United States,
,Titan-2-GLV,,Titan II,United States,Medium
,Delta-D,,Delta D,United States,
,Delta-C,,Delta C,United States,
,Thor-LV2D Burner-1 (1),,Thor,United States,
,Thor-DSV2A Able-Star,,Thor,United States,
,Thor-LV2D Burner-1 (2),,Thor,United States,
,Titan-3C,,Titan III+,United States,Medium
,Delta-E,,Delta E,United States,Medium
,Delta-C1,,Delta C,United States,
,Delta-E1,,Delta E,United States,Medium
,Titan-3B Agena-D,,Titan III,United States,Medium
,Thorad-SLV2G Agena-D,,Thor,United States,
,Thor-LV2F Burner-2,,Thor,United States,
,Delta-G,,Delta G,United States,
,Thor-LV2F Burner-2 Star-13A,,Thor,United States,
,Delta-J,,Delta J,United States,
,Delta-N,,Delta N,United States,
,Delta-M,,Delta M,United States,
,Thorad-SLV2H Agena-D,,Thor,United States,
,Delta-N6,,Delta N,United States,
,Titan-3(23)C,,Titan III+,United States,Medium
,Titan-3(23)B Agena-D,,Titan III,United States,Medium
,Delta-M6,,Delta M,United States,
,Titan-3(33)B Agena-D,,Titan III,United States,Medium
,Titan-3D,,Titan III,United States,Medium
,Titan-3(24)B Agena-D,,Titan III,United States,Medium
,Thor-LV2F Burner-2A,,Thor,United States,
,Delta-L,,Delta L,United States,
,Delta-900,,Delta 0100-Series,United States,Small
,Delta-1604,,Delta 1000-Series,United States,Small
,Delta-300,,Delta 0100-Series,United States,Small
,Delta-1914,,Delta 1000-Series,United States,Small
,Delta-1913,,Delta 1000-Series,United States,Small
,Delta-1900,,Delta 1000-Series,United States,Small
,Delta-2313,,Delta 2000-Series,United States,Small
,Delta-2914,,Delta 2000-Series,United States,Small
,Delta-2310,,Delta 2000-Series,United States,Small
,Titan-3E Centaur-D1T Star-37E,,Titan Centaur,United States,
,Delta-2910,,Delta 2000-Series,United States,Small
,Titan-3(34)B Agena-D,,Titan III,United States,Medium
,Delta-1410,,Delta 1000-Series,United States,Small
,Delta-1910,,Delta 1000-Series,United States,Small
,Delta-2913,,Delta 2000-Series,United States,Small
,Titan-3E Centaur-D1T,,Titan Centaur,United States,
,Delta-3914,,Delta 3000-Series,United States,Small
,Thor-LV2F Star-37XE Star-37S-ISS,,Thor,United States,
,Delta-3910,,Delta 3910,United States,Small
,Delta-3910 PAM-D,,Delta 3910,United States,Small
,Delta-3913,,Delta 3000-Series,United States,Small
,Delta-3920,,Delta 3000-Series,United States,Small
,Delta-3920 PAM-D,,Delta 3000-Series,United States,Small
,Delta-3924,,Delta 3000-Series,United States,Small
,Titan-34D IUS,,Titan III+,United States,Medium
,Titan-34D,,Titan III+,United States,Medium
,Titan-34D Transtage,,Titan III+,United States,Medium
,Titan-2(23)G,,Titan II,United States,Medium
,Delta-6925,,Delta 3000-Series,United States,Small
,Titan-4(02)A IUS,,Titan IV,United States,Heavy
,Delta-4925,,Delta 4000-Series,United States,Medium
,Delta-5920,,Delta 5000-Series,United States,Medium
,Commercial-Titan-3,,Titan III+,United States,Medium
,Delta-6920-8,,Delta II,United States,Medium
,Delta-6925-8,,Delta II,United States,Medium
,Delta-6920-10,,Delta II,United States,Medium
,Titan-4(05)A,,Titan IV,United States,Heavy
,Delta-7925,,Delta II,United States,Medium
,Titan-4(04)A,,Titan IV,United States,Heavy
,Titan-4(03)A,,Titan IV,United States,Heavy
,Delta-7925-8,,Delta II,United States,Medium
,Titan-4(01)A Centaur-T,,Titan Centaur,United States,
,Delta-7925-10,,Delta II,United States,Medium
,Delta-7920-10,,Delta II,United States,Medium
,Titan-4(02)B IUS,,Titan IV,United States,Heavy
,Titan-2(23)G Star-37S-ISS,,Titan II,United States,Medium
,Delta-7920-10C,,Delta II,United States,Medium
,Delta-7920-8,,Delta II,United States,Medium
,Titan-4(01)B Centaur-T,,Titan Centaur,United States,
,Delta-7420-10C,,Delta II,United States,Medium
,Titan-2(23)G Star-37XFP-ISS,,Titan II,United States,Medium
,Delta-7326,,Delta II,United States,Medium
,Delta-7425,,Delta II,United States,Medium
,Delta-7426,,Delta II,United States,Medium
,Delta-8930,,Delta III,United States,Medium
,Titan-4(03)B,,Titan IV,United States,Heavy
,Delta-7320-10C,,Delta II,United States,Medium
,Delta-7425-10C,,Delta II,United States,Medium
,Titan-4(04)B,,Titan IV,United States,Heavy
,Delta-7920-10L,,Delta II,United States,Medium
,Delta-7925H,,Delta II,United States,Medium
,Delta-7920H,,Delta II,United States,Medium
,Titan-4(05)B,,Titan IV,United States,Heavy
,Delta-7925-10L,,Delta II,United States,Medium
,Delta-7925-10C,,Delta II,United States,Medium
,Delta-7920H-10C,,Delta II,United States,Medium
,Falcon-9 v1.2 (Block 5),,Falcon 9,United States,Medium
,Falcon-9 v1.2 (Block 5)(ex),,Falcon 9,United States,Medium
,"Delta-4M+(5,4) (upg.)",,Delta IV,United States,Medium
,Falcon-Heavy (Block 5),,Falcon Heavy,United States,Heavy
,Atlas-5(551),,Atlas V,United States,Medium
,Atlas-5(511),,Atlas V,United States,Medium
,"Delta-4M+(4,2) (upg.)",,Delta IV,United States,Medium
,Antares-230+,,Antares,United States,Medium
,Atlas-5(N22),,Atlas V,United States,Medium
,Atlas-LV3C Centaur-B,,Atlas Centaur,United States,Medium
,N-1,,Thor N-Class,United States / Japan,Medium
,N-2 Star-37N,,Thor N-Class,United States / Japan,Medium
,N-2,,Thor N-Class,United States / Japan,Medium
Electron,Electron KS,,Electron,United States / New Zealand,Small
Electron Curie,,,Electron,United States / New Zealand,Small
,Electron Curie,,Electron,United States / New Zealand,Small
,CZ-3B/G2(2),,Long March 3B,China,Medium
,CZ-7A,,Long March 7A,China,Medium
,,ATLAS SLV3G (ATLAS G) CENTAUR D1-AR,Atlas Centaur,United States,Medium
,,ATLAS I,Atlas I,United States,Medium
,,TITAN IVA (401A)/CENTAUR-T,Titan Centaur,United States,
,,ATLAS II,Atlas II,United States,Medium
,,TITAN IVB (401B)/CENTAUR-T,Titan Centaur,United States,
,,PROTON K (D-1-e)/BLOK DM3 (8K82K 11S861-01),Proton,Russia,Heavy
,,ATLAS IIA,Atlas IIA,United States,Medium
,,ARIANE 44L H10-3,Ariane 44,Europe,Medium
,,TITAN IVB (402B)/IUS,Titan IV,United States,Heavy
,,ZENIT-3SL (BLOK DM-SL),Zenit 3SL,Russia,Medium
,,DELTA IVM,Delta IV,United States,Medium
,,ATLAS IIIB SEC,Atlas III,United States,Medium
,,ZENIT-3SL (BLOK DM-SL) UPGRADED,Zenit 3SL,Russia,Medium
,,ATLAS IIAS,Atlas IIAS,United States,Medium
,,PROTON M/BRIZ-M (PH1),Proton,Russia,Heavy
,,ARIANE 5G+(PLUS),Ariane 5G,Europe,Heavy
,,ARIANE 5 ECA - Evolution Cryotechnique type A,Ariane 5ECA,Europe,Heavy
,,ATLAS V 431 (RL10A-4-2),Atlas V,United States,Medium
,,ARIANE 5GS,Ariane 5G,Europe,Heavy
,,ATLAS V 411 (RL10A-4-2),Atlas V,United States,Medium
,,"DELTA IVM+ 4,2",Delta IV,United States,Medium
,,LONG MARCH 3B-4 (CZ-3B-4),Long March 3B,China,Medium
,,PROTON M/BRIZ-M (PH2),Proton,Russia,Heavy
,,ATLAS V 421 (RL10A-4-2),Atlas V,United States,Medium
,,ZENIT-3SLB/ZENIT 3M (BLOK DM-SLB),Zenit 3SL,Russia,Medium
,,PROTON M/BRIZ-M (PHS 2 MOD),Proton,Russia,Heavy
